"id","title","file","uploaded_at"
"147","Atomic-Habits-An-Easy--Proven-Way-to-Build-Good-Habits--Break-Bad-Ones ( PDFDrive )","documents/Atomic-Habits-An-Easy--Proven-Way-to-Build-Good-Habits--Break-Bad-Ones__PDFDrive_.pdf","2024-12-08 13:21:24.400211+05"
"148","Clean_ Overcoming Addiction and Ending America's Greatest Tragedy ( PDFDrive )","documents/Clean__Overcoming_Addiction_and_Ending_Americas_Greatest_Tragedy__PDFDrive_.pdf","2024-12-08 13:21:24.406664+05"
"149","Driven to Distraction (Revised)_ Recognizing and Coping with Attention Deficit Disorder ( PDFDrive )","documents/Driven_to_Distraction_Revised__Recognizing_and_Coping_with_Attention_Deficit_Disorder__PDFDrive_.pdf","2024-12-08 13:21:24.409625+05"
"150","Fear Less_ Living Beyond Fear, Anxiety, Anger, and Addiction ( PDFDrive )","documents/Fear_Less__Living_Beyond_Fear_Anxiety_Anger_and_Addiction__PDFDrive_.pdf","2024-12-08 13:21:24.416274+05"
"151","Healing the Addicted Brain_ The Revolutionary, Science-Based Alcoholism and Addiction Recovery Program ( PDFDrive )","documents/Healing_the_Addicted_Brain__The_Revolutionary_Science-Based_Alcoholism_and_Addiction_Recovery_Program__PDFDrive_.pdf","2024-12-08 13:21:24.421728+05"
"152","Ikigai _ the Japanese secret to a long and happy life ( PDFDrive )","documents/Ikigai___the_Japanese_secret_to_a_long_and_happy_life__PDFDrive_.pdf","2024-12-08 13:21:24.425753+05"
"153","Mindful Recovery_ A Spiritual Path to Healing from Addiction ( PDFDrive )","documents/Mindful_Recovery__A_Spiritual_Path_to_Healing_from_Addiction__PDFDrive_.pdf","2024-12-08 13:21:24.426759+05"
"154","Never Eat Alone, Expanded and Updated_ And Other Secrets to Success, One Relationship at a Time ( PDFDrive )","documents/Never_Eat_Alone_Expanded_and_Updated__And_Other_Secrets_to_Success_One_Relationship_at_a_Time__PDFDrive_.pdf","2024-12-08 13:21:24.430286+05"
"155","Recovery_ Freedom from Our Addictions ( PDFDrive )","documents/Recovery__Freedom_from_Our_Addictions__PDFDrive_.pdf","2024-12-08 13:21:24.433914+05"
"156","Rewire_ Change Your Brain to Break Bad Habits, Overcome Addictions, Conquer Self-Destruc tive Behavior ( PDFDrive )","documents/Rewire__Change_Your_Brain_to_Break_Bad_Habits_Overcome_Addictions_Conquer_Self-Destruc_tive_Behavior__PDFDrive_.pdf","2024-12-08 13:21:24.437034+05"
"157","Smart Recovery Handbook Tools and Strategies to Help You on Your Recovery Journey, Third Edition (Smart Recovery) (Z-Library)","documents/Smart_Recovery_Handbook_Tools_and_Strategies_to_Help_You_on_Your_Recovery_Journey_Third_Edition_Smart_Recovery_Z-Library.pdf","2024-12-08 13:21:24.442087+05"
